url_name,zh_name,platinum1,platinum2,platinum3,platinum4,platinum5,platinum_avg
kulstar,杀星,5,8,10,10,25,11.6
heliocor,赫利俄光锤,24,25,25,50,60,36.8
nagantaka,噬蛇弩,20,25,30,30,30,27.0
ocucor,视使之触,250,260,269,269,270,263.6
falcor,猎鹰轮,60,75,80,100,100,83.0
paracesis,心智之殁,40,50,70,90,148,79.6
exergis,晶能放射器,9,9,17,20,20,15.0
battacor,武使之力,20,20,45,50,50,37.0
euphona_prime,悦音 Prime,10,10,10,18,19,13.4
fusilai,齐射玻刃,8,10,10,20,35,16.6
lato,拉托,25,40,40,49,50,40.8
magnus,麦格努斯,10,10,20,20,20,16.0
ack_and_brunt,认知 & 冲击,25,30,30,35,35,31.0
amphis,双头蛇,25,27,30,30,30,28.4
anku,夺魂死神,30,30,32,35,40,33.4
arca_titron,弧电振子锤,205,205,209,220,222,212.2
balla,宝拉,40,45,50,50,60,49.0
boltace,螺钉拐刃,15,15,15,20,20,17.0
broken_war,破碎的战争之剑,25,30,30,35,45,33.0
caustacyst,灼蚀变体镰,10,23,25,26,29,22.6
cerata,裸鳃刃,25,28,30,35,40,31.6
hate,憎恨,170,180,180,185,200,183.0
soma,月神,24,25,30,30,39,29.6
synapse,突触生化枪,30,30,40,50,50,40.0
tigris,猛虎,14,15,15,15,19,15.6
tonkor,征服榴炮,30,35,40,40,50,39.0
torid,托里德,600,680,680,680,695,667.0
vectis,守望者,40,45,60,80,90,63.0
veldt,草原猎手,5,10,20,30,30,19.0
vulkar,金工火神,10,10,20,20,25,17.0
zarr,沙皇,20,25,25,40,40,30.0
zenith,天穹之顶,29,30,50,50,55,42.8
zhuge,诸葛连弩,9,15,20,20,25,17.8
acrid,阿克里德,10,10,20,25,100,33.0
afuris,盗贼双枪,50,50,60,60,68,57.6
akbolto,螺钉双枪,18,20,22,25,50,27.0
akbronco,野马双枪,9,10,30,30,111,38.0
akjagara,觉醒双枪,20,30,35,50,50,37.0
aklato,拉托双枪,5,10,10,15,15,11.0
arca_scisco,弧电探知者,10,10,10,10,20,12.0
cycron,循环离子枪,50,50,50,50,65,53.0
detron,德特昂,15,20,20,30,50,27.0
embolist,安柏勒斯,10,25,30,70,99,46.8
dual_kamas,双短柄战镰,10,12,30,50,100,40.4
kuva_shildeg,赤毒·希尔德,20,45,50,70,200,77.0
kuva_ayanga,赤毒·怒雷,40,40,50,80,90,60.0
vermisplicer,虫置,15,20,20,30,30,23.0
sporelacer,孢射,20,25,40,40,40,33.0
argonak,氩格纳克,10,10,12,15,19,13.2
castanas,雷爆信镖,10,10,15,15,18,13.6
cestra,锡斯特,40,55,66,80,100,68.2
dual_toxocyst,毒囊双枪,340,348,349,380,399,363.2
hystrix,豪猪,10,14,20,20,50,22.8
fragor,重击巨锤,34,35,35,35,40,35.8
galatine,迦伦提恩,35,50,50,120,150,81.0
